S003,P0061,East,144,233.600006103516,-89.6000061035156
S003,P0125,West,194,279.760009765625,-85.760009765625
S003,P0133,East,197,282.170013427734,-85.1700134277344
S003,P0016,West,161,245.330001831055,-84.3300018310547
S005,P0126,South,149,232.529998779297,-83.5299987792969
S001,P0016,North,132,214.75,-82.75
S004,P0046,East,200,281.579986572266,-81.5799865722656
S002,P0066,North,179,260.450012207031,-81.4500122070313
S004,P0068,West,113,192.630004882813,-79.6300048828125
S003,P0046,West,130,209.419998168945,-79.4199981689453
S002,P0061,East,190,268.760009765625,-78.760009765625
S003,P0061,South,208,286.529998779297,-78.5299987792969
S003,P0175,North,190,267.320007324219,-77.3200073242188
S005,P0016,North,137,213.779998779297,-76.7799987792969
S004,P0187,West,204,280.769989013672,-76.7699890136719
S001,P0133,South,112,186.360000610352,-74.3600006103516
S003,P0133,North,180,253.630004882813,-73.6300048828125
S004,P0061,West,192,265.559997558594,-73.5599975585938
S003,P0016,North,119,191.229995727539,-72.2299957275391
S002,P0046,East,108,179.910003662109,-71.9100036621094
S002,P0068,South,99,170.899993896484,-71.8999938964844
S001,P0133,North,194,265.339996337891,-71.3399963378906
S001,P0096,West,137,208.110000610352,-71.1100006103516
S003,P0125,North,151,221.130004882813,-70.1300048828125
S004,P0066,North,121,190.990005493164,-69.9900054931641
S004,P0116,West,149,218.429992675781,-69.4299926757813
S001,P0046,West,195,264.399993896484,-69.3999938964844
S003,P0187,East,110,179.059997558594,-69.0599975585938
S001,P0016,West,142,210.630004882813,-68.6300048828125
S005,P0066,East,91,159.619995117188,-68.6199951171875
S004,P0017,East,109,177.440002441406,-68.4400024414063
S002,P0016,East,104,172.330001831055,-68.3300018310547
S005,P0069,West,174,242.309997558594,-68.3099975585938
S005,P0069,South,98,166.020004272461,-68.0200042724609
S001,P0125,West,122,189.660003662109,-67.6600036621094
S002,P0133,South,142,209.660003662109,-67.6600036621094
S005,P0083,North,102,169.649993896484,-67.6499938964844
S002,P0125,West,157,224.410003662109,-67.4100036621094
S005,P0017,North,154,221.399993896484,-67.3999938964844
S003,P0094,South,172,239.399993896484,-67.3999938964844
S002,P0061,West,157,224.369995117188,-67.3699951171875
S002,P0016,North,215,282.299987792969,-67.2999877929688
S002,P0178,South,90,156.679992675781,-66.6799926757813
S004,P0066,South,170,236.580001831055,-66.5800018310547
S002,P0125,North,215,280.410003662109,-65.4100036621094
S003,P0126,North,163,228.410003662109,-65.4100036621094
S002,P0125,North,142,207.25,-65.25
S001,P0057,North,182,247.020004272461,-65.0200042724609
S002,P0061,South,189,253.970001220703,-64.9700012207031
S004,P0129,North,122,186.690002441406,-64.6900024414063
S001,P0126,West,227,291.540008544922,-64.5400085449219
S005,P0149,East,116,180.539993286133,-64.5399932861328
S003,P0016,South,136,200.460006713867,-64.4600067138672
S003,P0126,West,146,210.380004882813,-64.3800048828125
S002,P0133,West,133,197.210006713867,-64.2100067138672
S002,P0178,East,166,229.649993896484,-63.6499938964844
S001,P0094,East,117,180.589996337891,-63.5899963378906
S002,P0096,North,114,177.320007324219,-63.3200073242188
S005,P0166,South,97,160.229995727539,-63.2299957275391
S001,P0057,West,126,188.990005493164,-62.9900054931641
S004,P0079,South,98,160.880004882813,-62.8800048828125
S002,P0079,North,125,187.809997558594,-62.8099975585938
S001,P0061,West,156,218.639999389648,-62.6399993896484
S003,P0094,East,139,201.410003662109,-62.4100036621094
S001,P0133,West,121,183.179992675781,-62.1799926757813
S003,P0126,North,159,220.970001220703,-61.9700012207031
S003,P0133,South,88,149.860000610352,-61.8600006103516
S003,P0016,West,175,236.850006103516,-61.8500061035156
S005,P0046,West,154,215.649993896484,-61.6499938964844
