P0187,Clothing,North,23.166666,176,195.00000000,TRIGGER REORDER
P0149,Furniture,North,25.900000,187,218.00000000,TRIGGER REORDER
P0126,Clothing,East,17.233333,178,145.00000000,SUFFICIENT
P0068,Electronics,East,19.466666,160,164.00000000,TRIGGER REORDER
P0068,Electronics,North,0.833333,27,7.00000000,SUFFICIENT
P0017,Toys,North,5.200000,72,44.00000000,SUFFICIENT
P0133,Clothing,West,4.133333,223,35.00000000,SUFFICIENT
P0178,Clothing,North,14.200000,96,119.00000000,TRIGGER REORDER
P0057,Clothing,South,42.066666,157,353.00000000,TRIGGER REORDER
P0079,Furniture,West,8.800000,118,74.00000000,SUFFICIENT
P0149,Furniture,East,27.700000,166,233.00000000,TRIGGER REORDER
P0125,Clothing,South,18.166666,228,153.00000000,SUFFICIENT
P0079,Furniture,North,17.066666,104,143.00000000,TRIGGER REORDER
P0017,Toys,East,5.300000,221,45.00000000,SUFFICIENT
P0153,Furniture,South,16.500000,169,139.00000000,SUFFICIENT
P0126,Clothing,North,12.333333,215,104.00000000,SUFFICIENT
P0126,Clothing,East,7.233333,347,61.00000000,SUFFICIENT
P0068,Electronics,North,13.966666,196,117.00000000,SUFFICIENT
P0061,Clothing,West,13.900000,225,117.00000000,SUFFICIENT
P0175,Electronics,South,0.600000,30,5.00000000,SUFFICIENT
P0183,Electronics,West,21.566666,146,181.00000000,TRIGGER REORDER
P0067,Furniture,West,22.133333,181,186.00000000,TRIGGER REORDER
P0017,Toys,East,29.133333,144,245.00000000,TRIGGER REORDER
P0069,Clothing,South,30.266666,209,254.00000000,TRIGGER REORDER
P0083,Toys,East,1.600000,48,13.00000000,SUFFICIENT
P0129,Furniture,East,1.633333,51,14.00000000,SUFFICIENT
P0017,Toys,North,30.633333,149,257.00000000,TRIGGER REORDER
P0126,Clothing,West,9.733333,230,82.00000000,SUFFICIENT
P0175,Electronics,South,7.200000,199,60.00000000,SUFFICIENT
P0083,Toys,South,7.733333,217,65.00000000,SUFFICIENT
P0096,Toys,East,36.233333,168,304.00000000,TRIGGER REORDER
P0125,Clothing,East,2.500000,118,21.00000000,SUFFICIENT
P0017,Toys,South,17.633333,222,148.00000000,SUFFICIENT
P0129,Furniture,East,4.233333,220,36.00000000,SUFFICIENT
P0069,Clothing,East,5.566666,99,47.00000000,SUFFICIENT
P0116,Furniture,East,2.333333,67,20.00000000,SUFFICIENT
P0057,Clothing,East,28.866666,157,242.00000000,TRIGGER REORDER
P0149,Furniture,South,24.366666,166,205.00000000,TRIGGER REORDER
P0129,Furniture,North,3.266666,89,27.00000000,SUFFICIENT
P0166,Groceries,South,1.600000,37,13.00000000,SUFFICIENT
P0083,Toys,West,30.400000,177,255.00000000,TRIGGER REORDER
P0070,Electronics,South,15.733333,183,132.00000000,SUFFICIENT
P0066,Clothing,East,35.866666,190,301.00000000,TRIGGER REORDER
P0079,Furniture,East,9.400000,235,79.00000000,SUFFICIENT
P0066,Clothing,West,16.500000,165,139.00000000,SUFFICIENT
P0017,Toys,West,11.766666,105,99.00000000,SUFFICIENT
P0016,Clothing,South,1.800000,84,15.00000000,SUFFICIENT
P0094,Groceries,South,9.566666,219,80.00000000,SUFFICIENT
P0178,Clothing,North,41.300000,173,347.00000000,TRIGGER REORDER
P0067,Furniture,North,23.733333,180,199.00000000,TRIGGER REORDER
P0159,Electronics,South,20.966666,100,176.00000000,TRIGGER REORDER
P0159,Electronics,North,19.133333,87,161.00000000,TRIGGER REORDER
P0129,Furniture,South,9.266666,85,78.00000000,SUFFICIENT
P0068,Electronics,South,11.700000,101,98.00000000,SUFFICIENT
P0069,Clothing,North,8.300000,304,70.00000000,SUFFICIENT
P0066,Clothing,South,31.766666,163,267.00000000,TRIGGER REORDER
P0031,Electronics,South,21.066666,96,177.00000000,TRIGGER REORDER
P0171,Electronics,South,3.966666,213,33.00000000,SUFFICIENT
P0061,Clothing,West,26.100000,148,219.00000000,TRIGGER REORDER
P0083,Toys,South,1.833333,48,15.00000000,SUFFICIENT
P0159,Electronics,South,6.000000,269,50.00000000,SUFFICIENT
P0149,Furniture,South,24.133333,89,203.00000000,TRIGGER REORDER
P0175,Electronics,East,10.000000,107,84.00000000,SUFFICIENT
P0175,Electronics,West,2.300000,82,19.00000000,SUFFICIENT
P0085,Electronics,West,5.400000,270,45.00000000,SUFFICIENT
P0129,Furniture,North,5.466666,258,46.00000000,SUFFICIENT
P0031,Electronics,North,13.233333,174,111.00000000,SUFFICIENT
P0016,Clothing,West,11.666666,121,98.00000000,SUFFICIENT
P0046,Clothing,South,16.766666,159,141.00000000,SUFFICIENT
P0083,Toys,North,33.933333,143,285.00000000,TRIGGER REORDER
P0183,Electronics,North,13.800000,190,116.00000000,SUFFICIENT
P0175,Electronics,North,15.700000,126,132.00000000,TRIGGER REORDER
P0166,Groceries,North,21.000000,133,176.00000000,TRIGGER REORDER
P0070,Electronics,North,20.166666,188,169.00000000,SUFFICIENT
P0153,Furniture,West,27.033333,189,227.00000000,TRIGGER REORDER
P0187,Clothing,East,9.800000,80,82.00000000,TRIGGER REORDER
P0171,Electronics,East,19.966666,104,168.00000000,TRIGGER REORDER
P0125,Clothing,West,10.733333,77,90.00000000,TRIGGER REORDER
P0126,Clothing,South,17.900000,151,150.00000000,SUFFICIENT
P0159,Electronics,West,20.500000,178,172.00000000,SUFFICIENT
